VJ_combination	demo1_IG	demo2_IG	demo3_IG
IGHV8-2_IGHJ2-Z1	0	0	0
IGHV8-2_IGHJ3-M	0	0.00793650793650794	0
IGHV8-2_IGHJ4-M	0.0103626943005181	0	0
IGHV8-2_IGHJ5-M	0	0	0
IGHV8-3_IGHJ1-M	0.00518134715025907	0	0
IGHV8-3_IGHJ1-Z1	0	0	0
IGHV8-3_IGHJ2-M	0.00518134715025907	0	0
IGHV8-3_IGHJ2-Z1	0	0	0
IGHV8-3_IGHJ3-M	0	0	0
IGHV8-3_IGHJ4-M	0.00518134715025907	0	0
IGHV8-3_IGHJ5-M	0	0	0
IGHV8-4_IGHJ1-M	0.00518134715025907	0	0
IGHV8-4_IGHJ1-Z1	0	0	0
IGHV8-4_IGHJ2-M	0	0	0
IGHV8-4_IGHJ2-Z1	0	0	0
IGHV8-4_IGHJ3-M	0	0	0
IGHV8-4_IGHJ4-M	0.0155440414507772	0.00793650793650794	0
IGHV8-4_IGHJ5-M	0	0.00793650793650794	0
IGHV9-1_IGHJ1-M	0.0466321243523316	0.0158730158730159	0
IGHV9-1_IGHJ1-Z1	0	0	0
IGHV9-1_IGHJ2-M	0.0310880829015544	0.0317460317460317	0.0204081632653061
IGHV9-1_IGHJ2-Z1	0	0	0
IGHV9-1_IGHJ3-M	0	0	0
IGHV9-1_IGHJ4-M	0.0259067357512953	0.0158730158730159	0.0408163265306122
IGHV9-1_IGHJ5-M	0.0155440414507772	0.0158730158730159	0
IGHV9-2_IGHJ1-M	0	0	0
IGHV9-2_IGHJ1-Z1	0	0	0
IGHV9-2_IGHJ2-M	0	0	0
IGHV9-2_IGHJ2-Z1	0	0	0
IGHV9-2_IGHJ3-M	0	0	0
IGHV9-2_IGHJ4-M	0	0	0
IGHV9-2_IGHJ5-M	0	0	0
IGHV9-3_IGHJ1-M	0.0155440414507772	0.0158730158730159	0.0204081632653061
IGHV9-3_IGHJ1-Z1	0	0	0
IGHV9-3_IGHJ2-M	0.00518134715025907	0.0238095238095238	0
IGHV9-3_IGHJ2-Z1	0	0	0
IGHV9-3_IGHJ3-M	0.0155440414507772	0.00793650793650794	0
IGHV9-3_IGHJ4-M	0.0155440414507772	0.0238095238095238	0
IGHV9-3_IGHJ5-M	0	0	0
